username,0
bankofmarquis,Cluster 1
barbagvido,Cluster 1
barberoux,Cluster 3
barnabyrudge,Cluster 2
barrys82,Cluster 1
basilisksamuk,Cluster 1
basrutten,Cluster 3
bat-5,Cluster 2
baumer,Cluster 4
bbewnylorac,Cluster 1
begob,Cluster 1
beresfordjd,Cluster 1
bevo-13678,Cluster 4
bgar-80932,Cluster 1
bheadher,Cluster 1
bhernandez2216,Cluster 3
billcr12,Cluster 5
billion_mucks,Cluster 1
billygoat1071,Cluster 1
bix171,Cluster 3
bkoganbing,Cluster 4
bkrauser-81-311064,Cluster 1
blackburnj-1,Cluster 1
blacklist-1,Cluster 1
blackmamba99971,Cluster 1
blairgallop7,Cluster 1
blanbrn,Cluster 1
blanche-2,Cluster 1
bluesman-20,Cluster 1
blumdeluxe,Cluster 3
bob-rutzel-1,Cluster 1
bob-the-movie-man,Cluster 1
bobbobwhite,Cluster 1
bobsgrock,Cluster 2
bombersflyup,Cluster 3
bopdog,Cluster 1
bowmanblue,Cluster 3
