username,0
arthur_tafero,Cluster 1
arthurclay,Cluster 3
asda-man,Cluster 3
asifahsankhan,Cluster 1
asocialis,Cluster 3
atinder,Cluster 3
atlasmb,Cluster 3
austin0731,Cluster 1
autisticreviewers,Cluster 1
avik-basu1889,Cluster 3
axismladen,Cluster 3
axlrhodes,Cluster 3
ayoreinf,Cluster 1
badajoz-1,Cluster 3
bandw,Cluster 3
bankofmarquis,Cluster 1
barbagvido,Cluster 3
barberoux,Cluster 3
barnabyrudge,Cluster 3
barrys82,Cluster 3
basilisksamuk,Cluster 3
basrutten,Cluster 3
bat-5,Cluster 3
baumer,Cluster 3
bbewnylorac,Cluster 1
begob,Cluster 3
beresfordjd,Cluster 3
bevo-13678,Cluster 3
bgar-80932,Cluster 1
bheadher,Cluster 1
bhernandez2216,Cluster 3
billcr12,Cluster 3
billion_mucks,Cluster 3
billygoat1071,Cluster 1
bix171,Cluster 3
bkoganbing,Cluster 1
bkrauser-81-311064,Cluster 1
blackburnj-1,Cluster 3
blacklist-1,Cluster 3
blackmamba99971,Cluster 3
blairgallop7,Cluster 3
blanbrn,Cluster 1
blanche-2,Cluster 1
bluesman-20,Cluster 3
blumdeluxe,Cluster 1
bob-rutzel-1,Cluster 1
bob-the-movie-man,Cluster 1
bobbobwhite,Cluster 1
bobsgrock,Cluster 3
bombersflyup,Cluster 1
bopdog,Cluster 3
bowmanblue,Cluster 3
braddugg,Cluster 3
bradeybonnell,Cluster 1
brando647,Cluster 3
brankovranjkovic,Cluster 1
bravesfanc,Cluster 1
brchthethird,Cluster 1
breakdownthatfilm-blogspot-com,Cluster 3
brenttraft,Cluster 3
brett-76260,Cluster 1
brian_r_wright,Cluster 3
brianberta,Cluster 3
bryanbezter,Cluster 3
bryank-04844,Cluster 1
bsinc,Cluster 3
buiger,Cluster 3
burlesonjesse5,Cluster 1
callanvass,Cluster 3
calspers,Cluster 1
capone666,Cluster 1
carbuff,Cluster 3
cardsrock,Cluster 1
carlos37andre,Cluster 1
caseynicholson,Cluster 3
caspian1978,Cluster 3
cat_ranchero,Cluster 3
cdjh-81125,Cluster 3
charchuk,Cluster 3
cherold,Cluster 1
chrichtonsworld,Cluster 3
chrisbrown6453,Cluster 3
christian123,Cluster 3
christophe92300,Cluster 1
christopher-underwood,Cluster 3
christophershobris,Cluster 3
chubarova,Cluster 1
cinematic_aficionado,Cluster 1
cinephile-27690,Cluster 3
ciscokid1970,Cluster 3
classicalsteve,Cluster 1
claudonio,Cluster 3
cleary-joshua,Cluster 3
cliftonofun,Cluster 1
coasterdude44,Cluster 3
colewaters,Cluster 1
colinrgeorge,Cluster 3
colonel_green,Cluster 3
